id,created_at,created_by,invite_code,max_uses,used_count,expires_at,invite_type,message,is_active
2d7f9cc2-8d1e-41e3-87e3-fe016049af5f,2025-07-28 14:11:46.366396+00,3c563dbe-f980-4f86-98c6-7a41c60f7699,5842b9aa-dc3,1,0,2025-07-29 14:11:46.366396+00,student_to_teacher,,t
d4572e1d-38f8-41d7-b7ce-1aac6657de65,2025-07-28 14:11:49.320405+00,3c563dbe-f980-4f86-98c6-7a41c60f7699,702e3616-f02,1,0,2025-07-29 14:11:49.320405+00,student_to_teacher,,t
fc215e99-4f1a-497f-a5ba-b723f32103e2,2025-07-28 14:11:50.811853+00,3c563dbe-f980-4f86-98c6-7a41c60f7699,e3e6d897-fa5,1,0,2025-07-29 14:11:50.811853+00,student_to_teacher,,t
491c871d-bf08-4b4d-b166-b12bf42304f2,2025-07-28 14:12:47.288001+00,3c563dbe-f980-4f86-98c6-7a41c60f7699,7d030cfe-cab,1,0,2025-07-29 14:12:47.288001+00,student_to_teacher,,t
dddb84d0-ddb9-4ae6-a5f5-60e7ee13f698,2025-07-28 14:12:48.598927+00,3c563dbe-f980-4f86-98c6-7a41c60f7699,929ff167-7cb,1,0,2025-07-29 14:12:48.598927+00,student_to_teacher,,t
7c386e17-b55e-4ab8-bf27-29ae794efe79,2025-07-28 14:12:50.372309+00,3c563dbe-f980-4f86-98c6-7a41c60f7699,44f8b9ad-26a,1,0,2025-07-29 14:12:50.372309+00,student_to_teacher,,t
4abac462-ae19-45ef-9582-3a7cbcb70091,2025-07-28 14:12:52.812635+00,3c563dbe-f980-4f86-98c6-7a41c60f7699,e80d069e-342,1,0,2025-07-29 14:12:52.812635+00,student_to_teacher,,t
09f2e09b-12d8-4a33-8843-057b12854baf,2025-07-28 14:20:57.966676+00,8b8fd42a-aa5b-42b1-83ba-523e9f134d14,31c8f6b9-927,1,0,2025-07-29 14:20:57.966676+00,teacher_to_student,,t
bccb1337-8605-4947-8864-c60aa95292ad,2025-07-28 14:21:01.268863+00,8b8fd42a-aa5b-42b1-83ba-523e9f134d14,e9718a25-8b6,1,0,2025-07-29 14:21:01.268863+00,teacher_to_student,,t
da17d152-77fe-4e8a-8a35-b5219a562664,2025-07-28 14:21:03.959846+00,8b8fd42a-aa5b-42b1-83ba-523e9f134d14,0b1b5c27-22e,1,0,2025-07-29 14:21:03.959846+00,teacher_to_student,,t
184cc330-0e51-46ae-92a0-ff138cacabf1,2025-07-28 14:21:06.048473+00,8b8fd42a-aa5b-42b1-83ba-523e9f134d14,756fbfed-2d4,1,0,2025-07-29 14:21:06.048473+00,teacher_to_student,,t
c05c4354-3751-4765-bdc6-3e1f41a14afc,2025-07-28 14:21:13.602086+00,8b8fd42a-aa5b-42b1-83ba-523e9f134d14,3977e272-01f,1,0,2025-07-29 14:21:13.602086+00,teacher_to_student,,t
d461ce2f-f36d-4ab5-b319-fd8c01d9a828,2025-07-28 14:21:31.754311+00,3c563dbe-f980-4f86-98c6-7a41c60f7699,d713b989-34a,1,0,2025-07-29 14:21:31.754311+00,student_to_teacher,,t
b4948446-dc4b-49b3-b824-08dc46d5d408,2025-07-28 14:21:33.493639+00,3c563dbe-f980-4f86-98c6-7a41c60f7699,59e472c3-a50,1,0,2025-07-29 14:21:33.493639+00,student_to_teacher,,t
c1ef7c6b-72c2-432e-af47-e80ed7fc29c9,2025-07-28 14:21:37.635248+00,8b8fd42a-aa5b-42b1-83ba-523e9f134d14,42f9ed62-23c,1,0,2025-07-29 14:21:37.635248+00,teacher_to_student,,t
430e3dfe-9634-4299-ad2a-b75572633b45,2025-07-28 14:21:39.643087+00,8b8fd42a-aa5b-42b1-83ba-523e9f134d14,74442b9c-54c,1,0,2025-07-29 14:21:39.643087+00,teacher_to_student,,t
1a9bc7c7-4f05-480d-8974-7c32b4ab0ea3,2025-07-28 14:36:57.915537+00,8b8fd42a-aa5b-42b1-83ba-523e9f134d14,b16ea547-a10,1,0,2025-07-29 14:36:57.915537+00,teacher_to_student,,t
58b0ad18-1cb8-4904-a6a0-49cb737db15e,2025-07-28 14:38:25.009504+00,3c563dbe-f980-4f86-98c6-7a41c60f7699,ce553303-31d,1,0,2025-07-29 14:38:25.009504+00,student_to_teacher,,t
15b0b4e2-d7cc-4376-81d9-33e12e42af35,2025-07-28 14:40:55.369668+00,3c563dbe-f980-4f86-98c6-7a41c60f7699,2c0fdfbf-23e,1,0,2025-07-29 14:40:55.369668+00,student_to_teacher,,t
515db5a5-c947-43d8-980a-25642f85fa10,2025-07-28 14:41:28.105931+00,3c563dbe-f980-4f86-98c6-7a41c60f7699,9f95f4f7-c7a,1,0,2025-07-29 14:41:28.105931+00,student_to_teacher,,t
32260ecf-3fca-41bb-b0b0-882b9117bfc0,2025-07-28 14:44:16.918799+00,3c563dbe-f980-4f86-98c6-7a41c60f7699,831850f9-56e,1,0,2025-07-29 14:44:16.918799+00,student_to_teacher,,t
9199685a-08c9-46fd-afa7-e96153823087,2025-07-28 14:50:50.144237+00,3c563dbe-f980-4f86-98c6-7a41c60f7699,b06a9672-188,1,0,2025-07-29 14:50:50.144237+00,student_to_teacher,,t
7cfb5d65-71f5-4b40-b9a3-b21358193cea,2025-07-28 14:54:03.195299+00,3c563dbe-f980-4f86-98c6-7a41c60f7699,80863091-04c,1,0,2025-07-29 14:54:03.195299+00,student_to_teacher,,f
5d310e0c-3cac-4b89-adb2-e959838d0777,2025-07-28 15:00:04.843161+00,3c563dbe-f980-4f86-98c6-7a41c60f7699,44f2f3ed-02f,1,0,2025-07-29 15:00:04.843161+00,student_to_teacher,,f
39b70d51-af1b-40fa-8d9e-955a2ddbcd52,2025-07-29 06:53:55.517884+00,8b8fd42a-aa5b-42b1-83ba-523e9f134d14,0fc2d324-39e,1,0,2025-07-30 06:53:55.517884+00,teacher_to_student,,t
bbd823b9-1613-4d4e-a90a-9300f1e8853e,2025-07-29 06:53:55.53028+00,8b8fd42a-aa5b-42b1-83ba-523e9f134d14,a24fc8ee-3c1,1,0,2025-07-30 06:53:55.53028+00,teacher_to_student,,t
84094e44-de52-471d-8d4c-e725b627e383,2025-07-29 06:53:58.170311+00,8b8fd42a-aa5b-42b1-83ba-523e9f134d14,7b85dc04-532,1,0,2025-07-30 06:53:58.170311+00,teacher_to_student,,t
4dee692a-e446-4366-a874-13c9c74e8b8e,2025-07-29 06:54:00.191789+00,8b8fd42a-aa5b-42b1-83ba-523e9f134d14,28a30150-bfe,1,0,2025-07-30 06:54:00.191789+00,teacher_to_student,,t
8f0e8108-8fbd-49b1-9247-71c9df431c63,2025-07-29 06:54:01.604132+00,8b8fd42a-aa5b-42b1-83ba-523e9f134d14,d3cdd07b-597,1,0,2025-07-30 06:54:01.604132+00,teacher_to_student,,t
8aa37a1a-0189-48f1-96b6-a2ab9f717444,2025-07-29 06:54:02.045282+00,8b8fd42a-aa5b-42b1-83ba-523e9f134d14,3d78bd48-0b8,1,0,2025-07-30 06:54:02.045282+00,teacher_to_student,,t
6bd5f8cc-5a17-4d03-8019-b9dc3eb921e8,2025-07-29 06:54:02.507883+00,8b8fd42a-aa5b-42b1-83ba-523e9f134d14,cd4c589a-891,1,0,2025-07-30 06:54:02.507883+00,teacher_to_student,,t
fa254f68-8b9d-41d0-a4d1-9332c29cec29,2025-07-29 06:54:03.063357+00,8b8fd42a-aa5b-42b1-83ba-523e9f134d14,382c829e-4f8,1,0,2025-07-30 06:54:03.063357+00,teacher_to_student,,t
d8480806-ebbd-482c-8ec4-9033ccdfb7c3,2025-07-29 06:54:03.618268+00,8b8fd42a-aa5b-42b1-83ba-523e9f134d14,bc8c630b-3c6,1,0,2025-07-30 06:54:03.618268+00,teacher_to_student,,t
8d1046ca-8486-43f3-a367-a354e086f368,2025-07-29 06:54:09.842186+00,8b8fd42a-aa5b-42b1-83ba-523e9f134d14,35939ac6-35b,1,0,2025-07-30 06:54:09.842186+00,teacher_to_student,,t
c1992eaf-1f61-4ae2-8c86-ff5395ebe0c0,2025-07-29 06:59:51.218164+00,3c563dbe-f980-4f86-98c6-7a41c60f7699,aa04acef-4e6,1,0,2025-07-30 06:59:51.218164+00,student_to_teacher,,t
ae7c5c84-6f39-4b26-a25d-7422329bbde3,2025-07-29 06:59:52.992176+00,3c563dbe-f980-4f86-98c6-7a41c60f7699,8b93f60c-8fb,1,0,2025-07-30 06:59:52.992176+00,student_to_teacher,,t
48342f05-9d31-40b4-b390-0677290d8e4c,2025-07-29 06:59:54.344338+00,3c563dbe-f980-4f86-98c6-7a41c60f7699,e6520346-694,1,0,2025-07-30 06:59:54.344338+00,student_to_teacher,,t
2af0fa7b-42d1-48ae-a786-22dacd4ce5ff,2025-07-29 06:59:55.384032+00,3c563dbe-f980-4f86-98c6-7a41c60f7699,9e02189d-be3,1,0,2025-07-30 06:59:55.384032+00,student_to_teacher,,t
4c45bb66-43cf-40fe-8cd4-6d888c94f3d7,2025-07-29 10:39:40.878193+00,8b8fd42a-aa5b-42b1-83ba-523e9f134d14,f4e76109-68c,1,0,2025-07-30 10:39:40.878193+00,teacher_to_student,,t
a91ce5b1-ca44-4d00-a5ee-156184e77fa8,2025-07-29 10:41:11.020443+00,8b8fd42a-aa5b-42b1-83ba-523e9f134d14,c8d8c8c8-be9,1,0,2025-07-30 10:41:11.020443+00,teacher_to_student,,t
b5ec066e-83d5-440e-8aa3-73f8e0f84265,2025-07-29 10:41:11.077266+00,8b8fd42a-aa5b-42b1-83ba-523e9f134d14,689a6756-43a,1,0,2025-07-30 10:41:11.077266+00,teacher_to_student,,t
